Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction_v2
1,1,24,0,2,1817,4,5,0,1,2,0,5,2,3,4,4,4,5,2,0,0.0,1
1,1,57,1,1,3202,1,1,1,1,3,5,5,5,5,5,5,5,5,4,0,0.0,1
1,1,42,1,2,77,5,3,3,3,3,2,3,5,5,5,5,3,5,5,0,0.0,1
1,1,49,1,1,2795,3,5,3,3,5,5,4,5,5,5,5,5,5,3,58,44.0,1
0,1,30,0,2,1774,2,4,2,1,1,2,1,1,5,4,5,3,4,1,0,9.0,0
0,0,25,1,2,1248,3,0,3,4,3,3,3,3,5,5,5,4,4,3,0,0.0,0
0,1,32,0,2,2030,4,3,4,4,5,4,4,5,2,2,3,4,3,5,4,5.0,0
1,1,44,0,2,997,4,5,4,3,1,5,5,4,4,4,4,2,4,3,0,93.0,0
1,1,29,1,1,2134,3,3,3,3,4,4,4,4,4,4,5,5,4,4,0,0.0,1
1,1,54,0,2,888,1,1,1,1,5,5,5,5,5,5,5,4,5,5,0,0.0,1
1,0,40,1,1,1810,1,1,1,3,2,1,2,2,1,2,4,3,4,2,79,73.0,0
0,0,48,1,1,2151,1,1,1,1,2,1,3,2,5,5,4,4,4,2,0,0.0,0
1,1,55,1,1,3835,2,2,2,2,2,4,4,5,5,5,5,4,5,4,5,0.0,1
0,1,38,1,2,2009,5,5,5,5,5,5,5,5,3,2,1,2,5,5,0,0.0,1
1,0,27,1,2,2009,3,3,3,4,5,3,4,5,3,4,4,1,3,5,7,0.0,0
1,1,10,1,2,1778,4,5,5,5,4,4,2,4,2,5,4,1,4,4,0,8.0,0
1,1,58,1,1,1693,1,1,1,1,2,3,4,5,5,5,5,4,5,3,0,0.0,1
1,1,28,1,1,3276,2,2,2,2,5,5,5,5,2,2,4,3,4,5,62,70.0,1
1,0,24,1,1,1871,5,0,5,5,4,5,1,4,4,3,5,5,4,4,0,0.0,1
1,0,62,1,2,2111,2,2,2,4,1,2,1,1,3,4,4,1,3,1,0,0.0,0
0,1,38,0,2,1642,2,2,2,3,5,2,5,5,3,3,3,1,3,5,17,11.0,0
0,1,50,0,2,1236,2,4,2,3,2,2,3,2,4,4,5,4,5,2,0,7.0,0
0,1,40,1,1,595,2,2,2,2,2,2,3,5,5,5,5,1,5,3,25,37.0,1
1,1,69,0,3,2485,5,5,1,5,2,5,5,5,5,5,5,5,5,4,0,0.0,1
0,1,36,1,1,3153,5,5,2,5,2,5,5,5,5,5,5,3,5,4,0,0.0,1
0,1,39,0,2,1856,2,5,0,1,3,0,1,3,4,3,4,5,5,3,0,15.0,0
0,1,37,1,1,2071,1,1,2,1,4,5,4,5,5,5,5,3,5,4,0,1.0,1
0,1,21,0,2,2241,3,2,3,3,3,3,3,3,4,2,4,3,4,3,0,0.0,0
1,1,9,0,2,1467,1,1,2,1,3,5,5,4,4,4,4,5,4,5,0,6.0,1
0,1,38,1,1,2008,5,5,5,5,3,4,1,5,5,5,5,3,5,1,0,0.0,1
0,1,31,0,2,2130,2,4,2,4,3,2,5,3,5,3,4,5,4,3,94,86.0,0
1,1,54,0,3,728,3,1,3,3,5,5,5,2,2,5,1,5,3,5,17,6.0,1
1,1,18,0,2,2499,1,1,1,1,3,5,5,5,5,5,5,3,5,3,0,0.0,1
0,0,62,1,1,1619,2,2,2,4,1,2,5,1,5,3,4,4,5,1,0,0.0,0
0,1,47,1,1,1938,2,2,2,2,3,3,4,4,4,4,4,4,4,3,0,0.0,1
1,1,59,1,1,3416,1,1,1,1,4,4,5,5,5,5,5,5,5,3,0,1.0,1
0,1,59,1,1,419,2,2,3,2,5,5,4,5,5,5,5,5,5,4,1,0.0,1
1,1,66,0,2,431,4,4,4,1,2,1,3,4,4,4,4,2,4,4,0,0.0,0
0,0,45,1,1,1646,5,5,5,4,2,5,2,2,5,5,4,4,5,2,0,0.0,1
0,1,59,1,2,1902,4,4,4,4,4,4,4,4,4,2,2,3,3,4,37,51.0,1
1,1,51,1,1,991,3,3,1,3,3,5,5,4,4,4,4,5,4,4,8,18.0,1
0,1,57,1,1,3851,1,1,1,1,4,5,5,4,4,4,4,5,4,5,0,0.0,1
1,1,42,0,2,1200,5,5,5,3,2,5,5,2,3,3,5,4,5,2,1,0.0,1
0,0,22,1,2,1861,3,0,3,1,3,3,3,3,5,5,5,3,5,3,19,8.0,0
0,1,37,1,2,2387,4,1,1,1,4,3,4,4,4,4,3,1,4,4,0,0.0,0
0,1,50,1,1,678,5,5,5,5,2,5,4,4,4,4,4,5,4,4,0,0.0,1
0,1,59,1,2,1663,4,1,1,1,4,4,4,4,4,1,3,4,1,4,20,11.0,1
1,0,17,1,2,2013,2,2,2,3,2,2,2,2,3,4,3,4,4,2,83,78.0,0
0,0,25,1,2,1968,3,0,3,5,3,3,3,3,4,5,2,4,2,3,99,109.0,0
0,1,26,1,2,2712,3,4,4,4,3,3,2,3,4,5,3,3,3,3,7,14.0,0
1,1,59,1,1,2193,4,4,4,4,2,5,5,5,5,5,5,4,5,4,10,5.0,1
1,1,66,0,2,430,5,4,5,4,3,2,1,3,3,5,5,3,3,3,0,5.0,1
0,1,62,0,2,2373,2,3,2,2,4,2,4,4,4,5,2,1,3,4,0,0.0,0
0,1,60,1,1,448,2,1,1,1,4,2,2,2,2,2,2,2,2,2,37,48.0,0
1,1,10,0,2,2792,4,4,4,4,3,5,4,4,4,4,4,3,4,5,18,1.0,1
1,1,14,0,2,2289,2,2,4,2,4,4,4,5,5,5,5,3,5,5,58,39.0,1
1,1,46,1,2,1101,4,5,5,5,4,4,4,2,5,1,3,4,5,4,0,0.0,1
0,0,46,1,1,2819,3,3,3,3,3,3,3,3,3,2,3,1,3,3,0,0.0,0
0,0,18,1,3,1982,1,2,1,3,5,1,5,5,3,1,3,3,2,5,0,0.0,0
0,1,40,1,2,1647,4,4,4,4,4,4,4,4,5,1,1,1,3,4,0,0.0,1
0,1,50,1,2,2424,2,1,1,1,3,2,3,3,1,1,2,5,4,3,36,31.0,1
1,1,9,0,2,2319,4,4,4,3,2,4,2,2,3,4,5,3,4,2,1,0.0,0
1,1,66,0,2,2727,2,2,3,2,5,5,5,5,3,4,4,5,4,5,0,20.0,1
0,1,58,1,1,2584,4,4,4,4,2,3,4,5,5,4,5,3,5,4,0,0.0,1
0,1,44,1,1,517,2,2,2,2,5,2,3,5,5,5,5,1,5,2,17,1.0,1
0,1,62,0,2,2973,2,4,2,3,4,2,4,4,2,1,3,4,4,4,0,8.0,0
1,1,59,0,2,507,4,5,5,5,4,1,3,4,4,4,4,4,4,5,103,102.0,1
1,1,55,1,2,1589,2,4,3,4,5,3,3,2,2,2,2,1,2,1,0,0.0,0
1,1,42,1,1,354,2,2,2,2,3,4,4,5,5,5,5,3,5,4,25,27.0,1
1,0,22,1,2,1025,3,4,3,5,2,3,4,2,4,2,4,5,5,2,0,0.0,0
1,1,47,1,1,1143,4,4,2,4,3,5,5,4,4,4,4,3,4,4,21,15.0,1
0,1,54,1,1,1943,4,4,4,4,5,5,4,5,5,5,5,3,5,4,0,0.0,1
1,1,28,1,1,2756,0,0,0,2,4,4,4,4,4,2,5,3,4,4,6,17.0,1
0,1,52,0,2,1659,3,2,3,1,4,3,2,4,1,5,2,4,2,4,0,0.0,0
1,1,65,0,2,1537,2,2,2,2,5,5,5,5,2,4,5,1,3,5,93,87.0,1
1,1,29,1,1,4526,2,2,2,2,4,4,4,4,5,3,5,4,2,4,0,35.0,1
1,1,63,0,2,593,3,2,2,2,4,2,4,3,3,3,3,2,3,3,0,0.0,1
1,1,33,0,2,1967,1,1,1,1,3,4,5,5,5,4,5,5,5,5,0,3.0,1
1,1,37,1,1,3404,2,2,4,2,3,5,5,5,5,5,5,5,5,4,53,56.0,1
0,1,34,1,1,3642,2,2,4,2,5,5,5,4,4,4,4,5,4,5,86,85.0,1
0,1,65,0,2,3769,2,3,2,3,4,2,4,4,5,2,3,5,2,4,0,0.0,0
0,0,15,1,3,1728,3,3,4,4,4,4,4,4,2,2,4,2,4,4,0,0.0,0
1,1,50,1,3,458,4,1,1,1,5,4,3,4,4,4,4,3,4,2,0,0.0,1
0,1,39,1,1,362,1,1,1,1,4,4,5,4,4,4,4,4,4,5,0,0.0,1
0,1,54,1,1,3204,5,5,5,5,3,4,5,3,3,3,3,3,3,5,0,4.0,1
1,1,58,1,1,2588,1,5,5,5,5,4,3,1,1,1,1,4,1,3,41,56.0,0
1,1,55,0,2,328,4,4,1,4,3,3,3,3,5,2,2,1,1,3,63,60.0,1
0,1,17,0,2,1899,4,5,4,5,5,4,5,5,5,2,2,3,4,5,0,4.0,0
1,1,45,1,1,1906,2,5,5,5,3,1,2,2,2,2,2,2,2,3,31,30.0,0
0,1,36,1,1,1053,2,3,3,3,5,3,3,2,2,2,2,3,2,3,0,0.0,0
1,0,20,1,3,2121,2,1,2,4,2,4,4,2,2,3,4,4,4,4,177,184.0,0
1,1,67,1,1,408,4,3,3,3,4,3,4,4,4,3,4,4,4,2,0,0.0,0
1,1,54,1,1,1606,5,5,5,5,3,3,4,5,5,5,5,4,5,4,3,0.0,1
1,1,15,0,2,2005,1,1,1,1,4,4,4,4,4,3,4,3,4,4,45,22.0,1
1,1,15,0,2,2034,0,0,0,3,3,3,4,2,2,2,2,2,2,2,0,42.0,1
0,1,43,1,1,3345,3,5,3,3,4,5,4,5,5,5,5,3,5,4,0,0.0,1
0,0,40,1,2,2109,1,1,1,4,4,1,4,4,2,2,3,2,3,4,5,0.0,0
0,1,37,1,1,1543,2,5,5,5,2,1,2,3,3,3,2,2,3,3,0,0.0,0
0,1,53,1,1,1717,3,3,3,3,2,4,5,5,5,5,5,5,5,5,0,0.0,1
1,1,51,1,1,1103,5,5,5,5,5,5,5,3,3,3,3,5,3,3,19,37.0,1
1,1,38,0,3,2583,4,4,5,4,2,2,2,2,3,4,4,5,4,2,26,21.0,1
1,1,47,1,1,3598,2,2,2,2,3,4,3,2,2,2,2,3,2,4,0,0.0,0
0,1,58,0,2,4034,3,4,3,3,3,5,4,4,5,5,4,4,3,4,0,0.0,0
0,1,46,1,1,51,2,2,3,2,3,4,4,2,2,2,2,3,2,2,35,37.0,0
0,1,28,1,1,5174,4,4,4,4,5,5,5,5,4,4,4,4,4,5,0,0.0,1
1,1,46,1,1,1782,5,5,5,5,3,4,4,5,5,5,5,4,5,4,0,0.0,1
0,1,26,1,1,4966,1,1,1,1,4,4,4,4,1,1,4,3,4,4,0,0.0,1
1,1,49,1,1,3501,5,5,5,5,4,4,4,4,5,5,4,4,5,4,202,207.0,1
0,1,40,0,1,310,2,5,2,2,5,4,1,1,1,2,1,3,1,2,3,0.0,0
1,1,70,0,2,1260,4,4,2,4,2,1,3,5,5,5,5,1,5,2,84,70.0,1
0,1,13,0,2,2041,1,5,4,2,1,4,4,1,5,3,2,4,5,1,0,0.0,0
1,1,25,1,1,2899,3,3,3,3,5,5,5,5,4,2,4,5,4,5,0,4.0,1
0,0,31,1,2,1739,3,2,2,4,3,2,3,3,1,5,3,2,4,3,125,113.0,0
0,0,26,1,1,2080,3,0,3,3,3,3,2,3,5,2,5,3,5,3,0,0.0,0
1,1,43,1,1,2560,2,2,2,2,4,5,4,4,4,4,4,3,4,5,47,28.0,1
1,1,56,1,1,3177,1,1,1,1,2,5,5,4,4,4,4,3,4,5,19,20.0,1
1,1,33,0,2,1693,3,3,5,3,5,4,5,5,5,5,5,4,5,3,0,0.0,1
0,1,47,1,1,1459,3,1,5,1,1,4,3,3,3,3,3,4,3,1,33,60.0,0
0,1,39,1,1,1969,5,5,5,5,4,5,4,5,5,5,5,4,5,3,8,0.0,1
1,1,42,0,2,130,3,5,3,5,1,1,1,1,1,3,1,3,1,5,33,22.0,0
1,1,19,0,2,2142,4,5,2,3,5,2,5,5,1,1,4,1,1,5,11,21.0,1
0,0,27,1,2,1152,2,1,2,4,4,2,4,4,3,3,4,2,3,4,49,44.0,0
1,1,38,0,2,1309,2,2,5,2,3,4,5,4,4,5,4,5,4,3,0,0.0,1
0,0,22,1,1,2159,4,1,4,2,1,4,1,1,5,2,5,3,4,1,0,0.0,1
1,1,41,1,1,69,3,3,3,3,3,5,2,5,5,5,5,2,5,1,0,0.0,1
1,1,27,0,2,2062,3,3,3,3,3,5,4,5,5,5,5,3,5,5,0,0.0,1
1,1,40,1,1,771,2,2,2,2,4,5,5,5,5,5,5,5,5,3,10,0.0,1
1,0,22,1,2,2603,3,3,3,1,4,3,4,4,4,3,1,1,1,4,17,76.0,0
0,1,36,1,1,2107,3,3,3,3,2,5,5,4,4,5,4,4,4,4,0,0.0,1
0,1,19,1,3,2092,1,3,3,3,1,1,3,1,3,3,4,2,3,1,0,0.0,0
0,1,63,0,2,1869,2,3,2,4,1,2,1,1,5,3,2,1,4,1,0,0.0,0
1,1,50,1,3,2256,2,5,5,5,2,2,2,2,5,4,4,2,2,2,0,7.0,0
1,1,41,1,2,2862,3,4,4,4,4,3,4,4,3,3,3,2,4,4,53,44.0,0
0,1,38,1,1,3700,4,4,4,4,3,4,5,4,4,4,4,4,4,3,0,0.0,1
0,1,42,1,1,3926,1,1,1,1,3,4,4,3,3,4,5,3,3,3,0,0.0,1
0,1,41,0,2,1157,3,5,3,1,3,3,5,3,3,5,5,5,4,3,0,0.0,0
1,1,53,0,2,385,4,4,4,4,5,2,5,5,5,5,5,3,5,4,0,0.0,1
0,0,39,1,2,1604,1,3,1,3,3,1,3,3,2,5,3,3,4,3,1,2.0,0
0,1,36,0,2,1671,3,3,3,3,5,3,5,5,1,1,1,3,3,5,4,0.0,0
1,0,22,1,2,1767,2,2,2,4,4,2,2,4,2,2,4,3,3,4,0,0.0,0
0,1,52,1,1,2782,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0.0,1
0,0,22,1,2,2833,1,0,0,3,0,5,5,4,2,4,4,5,4,5,269,255.0,0
1,1,47,0,1,444,1,1,5,1,3,1,2,2,2,2,2,2,2,2,70,66.0,1
1,1,41,1,1,3879,2,3,2,2,4,5,4,5,5,5,5,3,5,4,0,0.0,1
0,0,39,1,1,1805,2,2,2,5,1,2,1,1,3,3,4,4,4,1,0,0.0,0
0,1,42,1,1,1457,3,3,3,3,3,4,4,2,2,2,2,3,2,4,2,0.0,1
1,1,51,1,2,428,2,2,4,2,2,2,3,2,2,2,2,3,2,2,0,0.0,0
0,1,41,0,1,1253,2,4,2,4,3,2,3,2,2,2,2,2,2,1,10,14.0,0
0,1,48,0,2,2089,3,5,3,4,3,3,3,3,4,4,4,4,4,3,5,11.0,0
0,1,32,1,1,3675,3,3,3,3,3,4,3,3,2,3,4,4,5,3,5,0.0,1
0,0,42,1,2,2092,1,1,1,3,5,1,5,5,4,4,3,1,4,5,0,0.0,0
1,0,23,1,3,2528,2,1,3,3,3,5,5,3,2,4,4,5,1,5,133,127.0,0
1,1,11,0,2,3048,2,2,2,2,5,3,4,5,5,5,5,4,5,2,0,1.0,1
1,0,22,1,2,1686,2,3,2,4,3,2,3,3,2,5,2,1,2,3,0,0.0,0
0,1,28,1,2,2505,2,4,4,4,2,1,2,2,4,3,4,4,4,2,32,27.0,0
0,0,63,1,2,1390,2,1,2,4,2,2,2,2,2,1,3,1,4,2,19,11.0,0
1,1,31,1,1,3616,2,4,4,4,2,2,2,2,3,1,4,1,4,2,0,3.0,0
0,0,29,1,2,1981,3,3,3,3,3,3,3,3,2,2,4,3,4,3,0,0.0,0
0,1,40,1,1,3643,4,4,4,4,4,5,5,4,4,4,4,5,4,5,0,2.0,1
1,1,67,1,1,1780,5,5,5,5,3,5,5,5,5,5,5,4,5,5,0,11.0,1
0,1,29,1,1,2021,4,4,5,4,5,5,5,5,2,3,4,2,5,5,0,0.0,1
1,1,62,1,2,440,5,1,1,1,2,2,4,5,5,5,5,3,5,5,0,9.0,1
1,1,57,1,1,434,5,5,5,5,4,5,5,4,4,5,4,5,4,3,42,44.0,1
0,0,26,1,1,2585,0,0,0,3,4,0,3,4,4,2,4,5,4,4,9,0.0,1
1,1,59,1,1,2234,3,3,3,3,2,4,5,4,4,4,4,5,4,4,0,0.0,1
0,1,58,1,2,1334,4,5,5,5,4,4,4,4,4,5,4,5,3,4,4,0.0,1
0,1,39,1,1,2074,2,2,5,2,5,4,4,4,4,4,4,3,4,4,44,44.0,1
0,0,9,1,2,2417,4,4,4,3,5,4,5,5,3,2,4,2,4,5,40,31.0,0
0,1,44,1,1,1775,4,4,4,4,3,5,4,5,5,5,5,4,5,2,0,29.0,1
1,1,38,1,1,3771,4,4,4,4,5,4,4,5,5,5,5,4,5,4,0,0.0,1
0,1,34,1,1,1542,2,4,4,4,1,3,4,3,3,2,2,4,3,2,8,11.0,0
0,0,27,1,2,1463,2,4,2,2,5,2,5,5,4,3,3,3,3,5,0,0.0,0
1,1,29,1,3,2420,4,5,5,5,4,4,4,4,4,2,2,2,2,4,0,12.0,0
1,1,51,1,3,1941,2,3,3,3,2,1,1,3,5,2,3,1,2,1,159,150.0,0
0,1,39,1,2,1262,5,3,4,4,5,5,5,5,2,3,4,1,1,5,0,0.0,1
0,1,22,1,1,1753,2,5,5,5,2,3,2,2,1,4,3,4,3,2,22,36.0,0
0,1,46,1,1,2145,2,2,2,2,2,4,4,5,5,5,5,3,5,5,0,0.0,1
0,1,16,0,2,2546,1,4,1,2,3,1,3,3,4,3,5,4,5,3,0,0.0,0
1,1,15,0,2,3041,4,4,4,4,5,3,5,2,2,2,2,4,2,5,0,0.0,1
0,1,44,1,1,1173,3,3,3,3,2,5,5,5,5,5,5,4,5,5,0,31.0,1
1,1,23,0,2,1981,4,4,2,2,5,2,5,5,4,4,4,5,5,5,0,1.0,0
1,0,45,1,1,2833,2,2,2,4,5,2,5,5,4,3,3,1,4,5,0,6.0,0
0,0,47,1,1,1861,2,2,2,5,2,2,2,2,5,5,5,4,4,2,0,0.0,0
1,1,36,0,2,1687,5,5,5,5,2,4,5,4,4,4,4,3,4,4,0,0.0,1
0,0,20,1,2,2798,2,2,2,3,2,4,4,1,2,3,4,4,2,4,131,164.0,0
1,1,43,1,1,539,2,2,2,2,2,5,5,4,4,4,4,5,4,3,0,0.0,1
0,1,41,0,2,1935,2,3,2,2,2,2,2,2,1,3,1,2,2,2,0,0.0,0
1,1,63,0,1,1399,2,2,2,2,4,4,5,5,5,5,5,5,5,3,24,21.0,1
0,1,58,0,3,2888,3,2,3,4,1,3,1,1,3,3,3,4,3,1,0,0.0,0
0,1,52,1,1,2808,4,4,4,4,1,5,1,5,5,5,5,1,5,3,0,0.0,1
1,0,22,1,2,2537,5,5,5,1,4,5,4,4,3,3,3,5,4,4,0,5.0,1
1,1,41,1,3,698,4,3,3,3,5,3,3,4,4,4,4,3,4,1,40,49.0,0
0,1,23,1,1,4234,3,1,3,3,5,5,5,5,3,5,4,4,5,5,0,0.0,1
0,1,47,1,1,2031,1,1,1,1,2,5,4,4,4,4,4,4,4,4,14,8.0,1
0,1,19,0,2,2683,2,4,2,2,4,2,4,4,3,3,4,4,5,4,0,6.0,0
1,1,29,1,2,2107,4,4,4,4,4,4,4,1,2,3,1,4,3,4,193,184.0,1
0,0,18,1,2,2122,2,2,2,4,3,2,3,3,3,5,3,3,4,3,19,9.0,0
1,1,42,0,2,265,4,2,4,3,5,4,3,5,5,4,5,4,5,2,37,28.0,0
0,1,39,1,1,497,5,5,5,5,2,5,4,5,5,5,5,3,5,5,0,0.0,1
0,1,68,0,2,2197,1,4,1,1,4,1,4,4,1,1,1,3,3,4,102,89.0,0
0,1,48,1,1,3276,1,1,1,1,5,5,4,4,4,4,4,3,4,5,15,7.0,1
0,0,16,1,2,1669,2,4,1,3,4,1,4,4,1,5,4,4,4,4,14,24.0,0
1,0,22,1,2,1399,3,4,4,3,3,4,4,3,1,2,4,1,3,3,0,0.0,0
0,0,21,1,2,1348,4,4,4,3,1,4,1,1,1,4,4,2,2,1,0,0.0,1
1,1,55,0,2,419,1,1,1,1,5,4,5,5,5,5,5,3,5,3,7,16.0,1
0,1,53,0,2,1190,3,5,3,1,5,3,5,5,4,2,5,4,5,5,41,28.0,0
1,1,42,1,1,3041,3,3,3,3,2,4,5,5,5,4,5,2,5,1,13,1.0,1
1,1,62,0,2,620,4,4,4,4,2,5,4,4,4,4,4,4,4,3,0,0.0,1
1,0,27,1,1,2668,3,2,2,2,3,2,3,3,3,3,4,3,4,3,0,4.0,0
1,1,40,0,2,2633,4,4,4,3,1,4,3,1,3,4,3,4,5,1,15,10.0,0
0,0,37,1,2,1897,1,1,1,4,1,1,1,1,4,4,4,3,4,1,14,28.0,0
1,0,22,1,2,1919,3,3,3,2,4,3,4,4,2,4,4,2,4,4,0,8.0,0
1,1,37,0,3,1449,1,1,5,1,5,4,2,5,5,5,5,1,5,4,1,12.0,1
1,0,38,1,2,1449,2,0,2,1,4,2,4,4,5,2,4,2,3,4,0,0.0,0
1,0,23,1,2,2239,2,2,2,2,2,2,2,2,2,3,4,4,2,2,0,25.0,0
1,1,53,1,1,3252,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0.0,1
0,1,44,1,1,3702,4,4,4,4,2,5,5,4,4,4,4,5,4,5,2,0.0,1
1,1,20,1,1,1881,4,4,3,4,5,5,5,5,4,2,5,4,5,5,0,0.0,1
1,0,42,1,1,2699,2,3,3,5,5,2,4,5,5,5,4,4,4,5,0,0.0,0
1,1,26,1,1,3137,2,2,2,2,3,2,3,3,1,3,5,3,2,3,0,42.0,1
0,1,32,1,1,1457,3,4,4,4,3,3,3,3,2,5,3,3,3,3,0,0.0,0
0,1,44,1,1,2348,1,4,4,4,3,3,3,4,4,4,1,3,4,1,0,14.0,0
1,1,52,1,1,1762,4,4,4,4,4,4,5,4,4,4,4,4,4,4,17,15.0,1
0,1,54,0,2,2573,2,4,2,2,2,2,2,2,1,1,5,2,4,2,0,0.0,0
1,1,50,1,1,722,3,2,2,2,3,3,2,3,3,3,3,4,3,1,31,25.0,0
0,1,34,0,2,2401,2,5,2,3,3,2,3,3,4,2,4,3,4,3,1,0.0,0
0,1,36,1,2,1261,5,5,5,5,5,5,5,5,4,3,2,2,3,5,0,0.0,1
0,1,36,0,2,2200,3,5,3,3,3,3,3,3,2,3,1,1,3,3,80,74.0,0
0,1,37,1,1,72,3,4,4,4,3,3,4,1,1,1,3,3,1,4,95,89.0,0
0,1,47,1,1,3726,1,1,2,1,5,4,5,5,5,5,5,3,5,4,0,0.0,1
1,1,74,1,1,4822,3,3,3,3,2,5,4,5,5,5,5,5,5,5,75,131.0,1
1,1,37,1,1,1201,3,3,3,3,2,4,5,4,4,4,4,4,4,3,0,0.0,1
0,1,47,1,3,1410,4,5,5,5,4,4,4,4,2,2,2,5,5,4,4,5.0,1
0,0,23,1,1,2750,0,3,0,4,3,0,3,3,4,3,5,5,4,3,0,0.0,1
1,1,47,1,1,2484,1,1,1,1,3,5,4,4,4,4,4,4,4,5,0,0.0,1
1,1,68,0,1,2230,2,5,2,3,2,5,4,4,4,2,4,4,4,5,130,110.0,0
1,0,25,1,2,1635,5,0,5,3,1,5,1,1,1,3,4,5,2,1,4,0.0,1
1,1,70,0,2,471,3,3,2,3,4,4,5,5,5,5,5,5,5,3,0,0.0,1
1,0,22,1,2,1537,3,3,4,4,1,4,1,1,3,3,3,3,4,1,26,21.0,0
1,1,38,0,2,1813,4,4,4,3,5,4,5,5,4,4,5,3,4,5,24,1.0,1
0,1,31,1,1,4557,1,1,1,1,2,2,2,2,1,3,2,4,1,2,0,5.0,1
1,1,38,1,1,2741,1,1,1,1,4,4,5,3,3,4,3,3,3,4,0,4.0,1
1,1,43,1,1,988,4,4,4,4,4,4,4,5,5,5,5,5,5,4,0,0.0,1
0,1,61,1,2,1705,4,4,4,4,4,4,4,4,2,3,4,4,4,4,0,0.0,1
0,1,47,1,3,2062,1,1,1,1,1,1,1,1,2,1,4,1,4,1,18,4.0,0
0,1,22,1,3,2674,2,5,3,5,2,2,4,2,3,1,3,3,4,2,0,0.0,0
0,1,27,0,2,2329,2,1,2,3,2,2,3,2,2,2,2,4,3,2,0,0.0,0
0,0,37,1,1,2152,2,2,2,2,5,2,2,5,5,2,5,3,5,5,0,0.0,0
0,1,48,1,1,2300,1,1,1,1,5,4,4,5,5,5,5,5,5,4,0,0.0,1
1,1,44,1,1,1882,0,0,0,3,4,4,2,1,1,1,1,1,1,5,8,3.0,1
0,1,52,1,1,859,4,1,1,1,4,4,4,4,4,4,4,1,4,4,0,0.0,0
1,0,25,1,2,1804,2,0,2,5,5,2,5,5,4,2,3,4,5,5,8,3.0,0
0,1,67,0,2,2226,5,5,4,4,5,4,5,5,3,3,4,5,5,5,77,99.0,1
1,1,60,1,2,463,1,1,1,1,2,3,4,1,1,1,1,2,1,4,75,82.0,0
0,1,51,1,1,3108,2,2,2,2,5,5,5,5,2,4,3,5,3,5,195,180.0,1
0,0,25,1,2,2556,3,3,3,1,3,3,3,4,2,5,2,3,2,3,5,0.0,0
1,1,51,1,1,1691,1,1,1,1,5,4,4,5,5,5,5,5,5,5,17,9.0,1
0,1,60,0,2,2623,2,4,2,2,2,2,2,2,4,5,2,5,3,2,1,3.0,0
1,1,40,1,2,2909,4,5,5,5,4,4,4,4,4,5,4,1,3,4,2,0.0,0
1,1,45,0,2,869,1,1,1,1,4,5,5,3,3,4,3,3,3,4,0,0.0,1
0,1,16,0,1,2236,5,3,5,4,5,5,5,5,1,3,4,2,3,5,0,0.0,1
1,1,54,1,1,2437,4,4,4,4,2,1,4,4,4,4,3,4,4,4,0,0.0,1
0,1,38,1,1,3407,1,1,5,1,1,4,4,4,4,4,1,4,4,1,97,93.0,0
0,1,50,1,1,2405,1,1,1,1,4,5,4,5,5,5,5,5,5,5,0,0.0,1
0,1,14,1,1,4537,1,1,1,1,4,4,4,4,5,5,4,4,4,4,0,0.0,1
0,1,35,1,2,2457,1,4,4,4,1,1,1,1,2,3,3,3,2,1,1,0.0,0
0,0,44,1,3,2471,1,1,1,2,3,1,3,3,2,2,1,2,3,3,0,0.0,0
1,0,22,1,1,1764,5,4,5,2,1,5,1,1,4,4,4,3,5,1,0,0.0,1
1,1,49,1,1,232,5,5,4,5,5,5,4,4,4,4,4,4,4,5,1,0.0,1
0,1,54,1,1,3284,2,2,2,2,4,5,5,4,4,4,4,4,4,3,108,80.0,1
0,1,72,1,2,1749,2,2,2,2,2,2,2,2,3,3,4,1,4,2,17,0.0,0
0,1,47,0,2,2381,2,1,2,3,1,2,1,1,3,3,4,3,4,1,0,0.0,0
0,1,9,0,1,2294,4,1,4,2,2,4,2,2,2,5,1,3,1,2,4,0.0,1
0,0,49,1,2,1799,3,0,3,2,2,3,2,2,4,2,4,5,1,2,0,0.0,0
1,1,33,1,1,3438,2,2,2,2,1,4,5,4,4,4,4,1,4,4,57,65.0,1
1,1,47,1,2,465,5,3,3,3,3,5,1,5,5,5,5,5,5,2,2,0.0,1
1,1,64,0,2,79,3,3,3,3,1,4,1,4,4,4,4,1,4,2,0,0.0,1
0,1,43,0,2,1679,3,2,5,4,1,5,1,1,2,3,3,4,4,1,0,1.0,0
0,1,37,1,1,432,1,1,1,1,1,2,2,1,1,1,1,2,1,3,60,58.0,0
0,1,11,0,2,2409,4,5,4,1,5,4,5,5,3,5,4,4,4,5,42,57.0,0
1,1,69,0,2,442,4,4,4,3,3,4,4,2,2,4,2,5,2,5,101,98.0,1
0,1,23,1,1,2419,2,4,4,4,2,2,2,2,4,5,4,3,4,2,52,29.0,0
1,1,27,1,1,5182,1,1,1,1,4,4,4,4,2,2,4,3,3,4,0,0.0,1
